user,par,doi,rank
208.144.114.xxx,510,0.043197824,24
208.144.114.xxx,498,0.043197824,25
208.144.114.xxx,497,0.043197824,26
208.144.114.xxx,489,0.043197824,27
208.144.114.xxx,487,0.043197824,28
208.144.114.xxx,438,0.043197824,29
208.144.114.xxx,673,0,30
208.144.114.xxx,667,0,31
208.144.114.xxx,665,0,32
208.144.114.xxx,660,0,33
208.144.114.xxx,659,0,34
208.144.114.xxx,658,0,35
208.144.114.xxx,657,0,36
208.144.114.xxx,656,0,37
208.144.114.xxx,655,0,38
208.144.114.xxx,654,0,39
208.144.114.xxx,653,0,40
208.144.114.xxx,652,0,41
208.144.114.xxx,651,0,42
208.144.114.xxx,649,0,43
208.144.114.xxx,648,0,44
208.144.114.xxx,647,0,45
208.144.114.xxx,646,0,46
208.144.114.xxx,644,0,47
208.144.114.xxx,643,0,48
208.144.114.xxx,642,0,49
208.144.114.xxx,641,0,50
208.144.114.xxx,640,0,51
208.144.114.xxx,639,0,52
208.144.114.xxx,638,0,53
208.144.114.xxx,637,0,54
208.144.114.xxx,636,0,55
208.144.114.xxx,635,0,56
208.144.114.xxx,462,0,57
172.171.175.xxx,418,0.193210678,1
172.171.175.xxx,417,0.171611766,2
172.171.175.xxx,424,0.150012854,3
172.171.175.xxx,419,0.150012854,4
172.171.175.xxx,416,0.150012854,5
172.171.175.xxx,508,0.143206393,6
172.171.175.xxx,524,0.121607481,7
172.171.175.xxx,517,0.121607481,8
172.171.175.xxx,509,0.121607481,9
172.171.175.xxx,507,0.121607481,10
172.171.175.xxx,502,0.121607481,11
172.171.175.xxx,501,0.121607481,12
172.171.175.xxx,485,0.121607481,13
172.171.175.xxx,471,0.100008569,14
172.171.175.xxx,469,0.100008569,15
172.171.175.xxx,468,0.100008569,16
172.171.175.xxx,458,0.100008569,17
172.171.175.xxx,423,0.100008569,18
172.171.175.xxx,421,0.100008569,19
172.171.175.xxx,610,0.086395649,20
172.171.175.xxx,557,0.086395649,21
172.171.175.xxx,567,0.064796737,22
172.171.175.xxx,512,0.043197824,23
172.171.175.xxx,510,0.043197824,24
172.171.175.xxx,498,0.043197824,25
172.171.175.xxx,497,0.043197824,26
172.171.175.xxx,489,0.043197824,27
172.171.175.xxx,487,0.043197824,28
172.171.175.xxx,438,0.043197824,29
172.171.175.xxx,673,0,30
172.171.175.xxx,667,0,31
172.171.175.xxx,665,0,32
172.171.175.xxx,660,0,33
172.171.175.xxx,659,0,34
172.171.175.xxx,658,0,35
172.171.175.xxx,657,0,36
172.171.175.xxx,656,0,37
172.171.175.xxx,655,0,38
172.171.175.xxx,654,0,39
172.171.175.xxx,653,0,40
172.171.175.xxx,652,0,41
172.171.175.xxx,651,0,42
172.171.175.xxx,649,0,43
172.171.175.xxx,648,0,44
172.171.175.xxx,647,0,45
172.171.175.xxx,646,0,46
172.171.175.xxx,644,0,47
172.171.175.xxx,643,0,48
172.171.175.xxx,642,0,49
172.171.175.xxx,641,0,50
172.171.175.xxx,640,0,51
172.171.175.xxx,639,0,52
172.171.175.xxx,638,0,53
172.171.175.xxx,637,0,54
172.171.175.xxx,636,0,55
172.171.175.xxx,635,0,56
172.171.175.xxx,462,0,57
Ed Poor,418,0.458567529,1
Ed Poor,417,0.438326576,2
Ed Poor,424,0.37473119,3
Ed Poor,419,0.37473119,4
Ed Poor,416,0.37473119,5
Ed Poor,508,0.366566771,6
Ed Poor,524,0.324648601,7
Ed Poor,517,0.324648601,8
Ed Poor,509,0.324648601,9
Ed Poor,507,0.324648601,10
Ed Poor,502,0.324648601,11
Ed Poor,501,0.324648601,12
Ed Poor,485,0.324648601,13
Ed Poor,471,0.303049689,14
Ed Poor,469,0.303049689,15
Ed Poor,468,0.303049689,16
Ed Poor,458,0.303049689,17
Ed Poor,423,0.282730431,18
Ed Poor,421,0.282730431,19
Ed Poor,610,0.252945281,20
Ed Poor,567,0.211027112,21
Ed Poor,557,0.209590848,22
Ed Poor,438,0.169108942,23
Ed Poor,512,0.125754509,24
Ed Poor,510,0.125754509,25
Ed Poor,498,0.125754509,26
Ed Poor,497,0.125754509,27
Ed Poor,489,0.125754509,28
Ed Poor,487,0.125754509,29
Ed Poor,462,0.060957772,30
Ed Poor,673,0,31
Ed Poor,667,0,32
Ed Poor,665,0,33
Ed Poor,660,0,34
Ed Poor,659,0,35
Ed Poor,658,0,36
Ed Poor,657,0,37
Ed Poor,656,0,38
Ed Poor,655,0,39
Ed Poor,654,0,40
Ed Poor,653,0,41
Ed Poor,652,0,42
Ed Poor,651,0,43
Ed Poor,649,0,44
Ed Poor,648,0,45
Ed Poor,647,0,46
Ed Poor,646,0,47
Ed Poor,644,0,48
Ed Poor,643,0,49
Ed Poor,642,0,50
Ed Poor,641,0,51
Ed Poor,640,0,52
Ed Poor,639,0,53
Ed Poor,638,0,54
Ed Poor,637,0,55
Ed Poor,636,0,56
Ed Poor,635,0,57
64.12.107.xxx,418,0.498863314,1
64.12.107.xxx,417,0.477264402,2
64.12.107.xxx,424,0.45566549,3
64.12.107.xxx,419,0.45566549,4
64.12.107.xxx,416,0.45566549,5
64.12.107.xxx,508,0.448859029,6
64.12.107.xxx,524,0.427260117,7
64.12.107.xxx,517,0.427260117,8
64.12.107.xxx,509,0.427260117,9
64.12.107.xxx,507,0.427260117,10
64.12.107.xxx,502,0.427260117,11
64.12.107.xxx,501,0.427260117,12
64.12.107.xxx,485,0.427260117,13
64.12.107.xxx,471,0.405661205,14
64.12.107.xxx,469,0.405661205,15
64.12.107.xxx,468,0.405661205,16
64.12.107.xxx,458,0.405661205,17
64.12.107.xxx,423,0.405661205,18
64.12.107.xxx,421,0.405661205,19
64.12.107.xxx,610,0.107994561,20
64.12.107.xxx,557,0.107994561,21
64.12.107.xxx,567,0.086395649,22
64.12.107.xxx,512,0.064796737,23
64.12.107.xxx,510,0.064796737,24
64.12.107.xxx,498,0.064796737,25
64.12.107.xxx,497,0.064796737,26
64.12.107.xxx,489,0.064796737,27
64.12.107.xxx,487,0.064796737,28
64.12.107.xxx,438,0.064796737,29
64.12.107.xxx,673,0,30
64.12.107.xxx,667,0,31
64.12.107.xxx,665,0,32
64.12.107.xxx,660,0,33
64.12.107.xxx,659,0,34
64.12.107.xxx,658,0,35
64.12.107.xxx,657,0,36
64.12.107.xxx,656,0,37
64.12.107.xxx,655,0,38
64.12.107.xxx,654,0,39
64.12.107.xxx,653,0,40
64.12.107.xxx,652,0,41
64.12.107.xxx,651,0,42
64.12.107.xxx,649,0,43
64.12.107.xxx,648,0,44
64.12.107.xxx,647,0,45
64.12.107.xxx,646,0,46
64.12.107.xxx,644,0,47
64.12.107.xxx,643,0,48
64.12.107.xxx,642,0,49
64.12.107.xxx,641,0,50
64.12.107.xxx,640,0,51
64.12.107.xxx,639,0,52
64.12.107.xxx,638,0,53
64.12.107.xxx,637,0,54
64.12.107.xxx,636,0,55
64.12.107.xxx,635,0,56
64.12.107.xxx,462,0,57
203.109.250.xxx,418,0.243214963,1
203.109.250.xxx,417,0.22161605,2
203.109.250.xxx,424,0.200017138,3
203.109.250.xxx,419,0.200017138,4
203.109.250.xxx,416,0.200017138,5
203.109.250.xxx,508,0.193210678,6
203.109.250.xxx,524,0.171611766,7
203.109.250.xxx,517,0.171611766,8
203.109.250.xxx,509,0.171611766,9
203.109.250.xxx,507,0.171611766,10
203.109.250.xxx,502,0.171611766,11
203.109.250.xxx,501,0.171611766,12
203.109.250.xxx,485,0.171611766,13
203.109.250.xxx,471,0.150012854,14
203.109.250.xxx,469,0.150012854,15
203.109.250.xxx,468,0.150012854,16
203.109.250.xxx,458,0.150012854,17
203.109.250.xxx,423,0.150012854,18
203.109.250.xxx,421,0.150012854,19
203.109.250.xxx,610,0.107994561,20
203.109.250.xxx,557,0.107994561,21
203.109.250.xxx,567,0.086395649,22
203.109.250.xxx,512,0.064796737,23
203.109.250.xxx,510,0.064796737,24
203.109.250.xxx,498,0.064796737,25
203.109.250.xxx,497,0.064796737,26
203.109.250.xxx,489,0.064796737,27
203.109.250.xxx,487,0.064796737,28
203.109.250.xxx,438,0.064796737,29
203.109.250.xxx,673,0,30
203.109.250.xxx,667,0,31
203.109.250.xxx,665,0,32
203.109.250.xxx,660,0,33
203.109.250.xxx,659,0,34
203.109.250.xxx,658,0,35
203.109.250.xxx,657,0,36
203.109.250.xxx,656,0,37
203.109.250.xxx,655,0,38
203.109.250.xxx,654,0,39
203.109.250.xxx,653,0,40
203.109.250.xxx,652,0,41
203.109.250.xxx,651,0,42
203.109.250.xxx,649,0,43
203.109.250.xxx,648,0,44
203.109.250.xxx,647,0,45
203.109.250.xxx,646,0,46
203.109.250.xxx,644,0,47
203.109.250.xxx,643,0,48
203.109.250.xxx,642,0,49
203.109.250.xxx,641,0,50
203.109.250.xxx,640,0,51
203.109.250.xxx,639,0,52
203.109.250.xxx,638,0,53
203.109.250.xxx,637,0,54
203.109.250.xxx,636,0,55
203.109.250.xxx,635,0,56
203.109.250.xxx,462,0,57
The Epopt,418,0.293219247,1
The Epopt,417,0.271620335,2
The Epopt,424,0.250021423,3
The Epopt,419,0.250021423,4
The Epopt,416,0.250021423,5
The Epopt,508,0.243214963,6
The Epopt,524,0.22161605,7
The Epopt,517,0.22161605,8
The Epopt,509,0.22161605,9
The Epopt,507,0.22161605,10
The Epopt,502,0.22161605,11
The Epopt,501,0.22161605,12
The Epopt,485,0.22161605,13
The Epopt,471,0.200017138,14
The Epopt,469,0.200017138,15
The Epopt,468,0.200017138,16
The Epopt,458,0.200017138,17
The Epopt,423,0.200017138,18
The Epopt,421,0.200017138,19
The Epopt,610,0.129593473,20
The Epopt,557,0.129593473,21
The Epopt,567,0.107994561,22
The Epopt,512,0.086395649,23
The Epopt,510,0.086395649,24
The Epopt,498,0.086395649,25
The Epopt,497,0.086395649,26
The Epopt,489,0.086395649,27
The Epopt,487,0.086395649,28
The Epopt,438,0.086395649,29
The Epopt,673,0,30
The Epopt,667,0,31
The Epopt,665,0,32
The Epopt,660,0,33
The Epopt,659,0,34
The Epopt,658,0,35
The Epopt,657,0,36
The Epopt,656,0,37
The Epopt,655,0,38
The Epopt,654,0,39
The Epopt,653,0,40
The Epopt,652,0,41
The Epopt,651,0,42
The Epopt,649,0,43
The Epopt,648,0,44
The Epopt,647,0,45
The Epopt,646,0,46
The Epopt,644,0,47
The Epopt,643,0,48
The Epopt,642,0,49
The Epopt,641,0,50
The Epopt,640,0,51
The Epopt,639,0,52
The Epopt,638,0,53
The Epopt,637,0,54
The Epopt,636,0,55
The Epopt,635,0,56
The Epopt,462,0,57
Aripap,418,0.193210678,1
Aripap,417,0.171611766,2
Aripap,424,0.150012854,3
Aripap,419,0.150012854,4
Aripap,416,0.150012854,5
Aripap,508,0.143206393,6
Aripap,524,0.121607481,7
Aripap,517,0.121607481,8
Aripap,509,0.121607481,9
Aripap,507,0.121607481,10
Aripap,502,0.121607481,11
Aripap,501,0.121607481,12
Aripap,485,0.121607481,13
Aripap,471,0.100008569,14
Aripap,469,0.100008569,15
Aripap,468,0.100008569,16
Aripap,458,0.100008569,17
Aripap,423,0.100008569,18
Aripap,421,0.100008569,19
Aripap,610,0.086395649,20
Aripap,557,0.086395649,21
Aripap,567,0.064796737,22
Aripap,512,0.043197824,23
Aripap,510,0.043197824,24
Aripap,498,0.043197824,25
Aripap,497,0.043197824,26
Aripap,489,0.043197824,27
Aripap,487,0.043197824,28
Aripap,438,0.043197824,29
Aripap,673,0,30
Aripap,667,0,31
Aripap,665,0,32
Aripap,660,0,33
Aripap,659,0,34
Aripap,658,0,35
Aripap,657,0,36
Aripap,656,0,37
Aripap,655,0,38
Aripap,654,0,39
Aripap,653,0,40
Aripap,652,0,41
Aripap,651,0,42
Aripap,649,0,43
Aripap,648,0,44
Aripap,647,0,45
Aripap,646,0,46
Aripap,644,0,47
Aripap,643,0,48
Aripap,642,0,49
Aripap,641,0,50
Aripap,640,0,51
Aripap,639,0,52
Aripap,638,0,53
Aripap,637,0,54
Aripap,636,0,55
Aripap,635,0,56
Aripap,462,0,57
The Cunctator,418,0.193210678,1
The Cunctator,417,0.171611766,2
The Cunctator,424,0.150012854,3
The Cunctator,419,0.150012854,4
The Cunctator,416,0.150012854,5
The Cunctator,508,0.143206393,6
The Cunctator,524,0.121607481,7
The Cunctator,517,0.121607481,8
The Cunctator,509,0.121607481,9
The Cunctator,507,0.121607481,10
The Cunctator,502,0.121607481,11
The Cunctator,501,0.121607481,12
The Cunctator,485,0.121607481,13
The Cunctator,471,0.100008569,14
The Cunctator,469,0.100008569,15
The Cunctator,468,0.100008569,16
The Cunctator,458,0.100008569,17
The Cunctator,423,0.100008569,18
The Cunctator,421,0.100008569,19
The Cunctator,610,0.086395649,20
The Cunctator,557,0.086395649,21
The Cunctator,567,0.064796737,22
The Cunctator,512,0.043197824,23
The Cunctator,510,0.043197824,24
The Cunctator,498,0.043197824,25
The Cunctator,497,0.043197824,26
The Cunctator,489,0.043197824,27
The Cunctator,487,0.043197824,28
The Cunctator,438,0.043197824,29
The Cunctator,673,0,30
The Cunctator,667,0,31
The Cunctator,665,0,32
The Cunctator,660,0,33
The Cunctator,659,0,34
The Cunctator,658,0,35
The Cunctator,657,0,36
The Cunctator,656,0,37
The Cunctator,655,0,38
The Cunctator,654,0,39
The Cunctator,653,0,40
The Cunctator,652,0,41
The Cunctator,651,0,42
The Cunctator,649,0,43
The Cunctator,648,0,44
The Cunctator,647,0,45
The Cunctator,646,0,46
The Cunctator,644,0,47
The Cunctator,643,0,48
The Cunctator,642,0,49
The Cunctator,641,0,50
The Cunctator,640,0,51
The Cunctator,639,0,52
The Cunctator,638,0,53
The Cunctator,637,0,54
The Cunctator,636,0,55
The Cunctator,635,0,56
The Cunctator,462,0,57
Andrew Blair,418,0.193210678,1
Andrew Blair,417,0.171611766,2
Andrew Blair,424,0.150012854,3
Andrew Blair,419,0.150012854,4
Andrew Blair,416,0.150012854,5
Andrew Blair,508,0.143206393,6
Andrew Blair,524,0.121607481,7
Andrew Blair,517,0.121607481,8
Andrew Blair,509,0.121607481,9
Andrew Blair,507,0.121607481,10
Andrew Blair,502,0.121607481,11
Andrew Blair,501,0.121607481,12
Andrew Blair,485,0.121607481,13
Andrew Blair,471,0.100008569,14
Andrew Blair,469,0.100008569,15
Andrew Blair,468,0.100008569,16
Andrew Blair,458,0.100008569,17
Andrew Blair,423,0.100008569,18
Andrew Blair,421,0.100008569,19
Andrew Blair,610,0.086395649,20
Andrew Blair,557,0.086395649,21
Andrew Blair,567,0.064796737,22
Andrew Blair,512,0.043197824,23
Andrew Blair,510,0.043197824,24
Andrew Blair,498,0.043197824,25
Andrew Blair,497,0.043197824,26
Andrew Blair,489,0.043197824,27
Andrew Blair,487,0.043197824,28
Andrew Blair,438,0.043197824,29
Andrew Blair,673,0,30
Andrew Blair,667,0,31
Andrew Blair,665,0,32
Andrew Blair,660,0,33
Andrew Blair,659,0,34
Andrew Blair,658,0,35
Andrew Blair,657,0,36
Andrew Blair,656,0,37
Andrew Blair,655,0,38
Andrew Blair,654,0,39
Andrew Blair,653,0,40
Andrew Blair,652,0,41
Andrew Blair,651,0,42
Andrew Blair,649,0,43
Andrew Blair,648,0,44
Andrew Blair,647,0,45
Andrew Blair,646,0,46
Andrew Blair,644,0,47
Andrew Blair,643,0,48
Andrew Blair,642,0,49
Andrew Blair,641,0,50
Andrew Blair,640,0,51
Andrew Blair,639,0,52
Andrew Blair,638,0,53
Andrew Blair,637,0,54
Andrew Blair,636,0,55
Andrew Blair,635,0,56
Andrew Blair,462,0,57
RobertL30,418,0.107994561,1
RobertL30,610,0.086395649,2
RobertL30,557,0.086395649,3
RobertL30,508,0.086395649,4
RobertL30,417,0.086395649,5
RobertL30,567,0.064796737,6
RobertL30,524,0.064796737,7
RobertL30,517,0.064796737,8
RobertL30,509,0.064796737,9
RobertL30,507,0.064796737,10
RobertL30,502,0.064796737,11
RobertL30,501,0.064796737,12
RobertL30,485,0.064796737,13
RobertL30,424,0.064796737,14
RobertL30,419,0.064796737,15
RobertL30,416,0.064796737,16
RobertL30,512,0.043197824,17
RobertL30,510,0.043197824,18
RobertL30,498,0.043197824,19
RobertL30,497,0.043197824,20
RobertL30,489,0.043197824,21
RobertL30,487,0.043197824,22
RobertL30,471,0.043197824,23
RobertL30,469,0.043197824,24
RobertL30,468,0.043197824,25
RobertL30,458,0.043197824,26
RobertL30,438,0.043197824,27
RobertL30,423,0.043197824,28
RobertL30,421,0.043197824,29
RobertL30,673,0,30
RobertL30,667,0,31
RobertL30,665,0,32
RobertL30,660,0,33
RobertL30,659,0,34
RobertL30,658,0,35
RobertL30,657,0,36
RobertL30,656,0,37
RobertL30,655,0,38
RobertL30,654,0,39
RobertL30,653,0,40
RobertL30,652,0,41
RobertL30,651,0,42
RobertL30,649,0,43
RobertL30,648,0,44
RobertL30,647,0,45
RobertL30,646,0,46
RobertL30,644,0,47
RobertL30,643,0,48
RobertL30,642,0,49
RobertL30,641,0,50
RobertL30,640,0,51
RobertL30,639,0,52
RobertL30,638,0,53
RobertL30,637,0,54
RobertL30,636,0,55
RobertL30,635,0,56
RobertL30,462,0,57
Conversion script,418,0.193210678,1
Conversion script,417,0.171611766,2
Conversion script,424,0.150012854,3
Conversion script,419,0.150012854,4
Conversion script,416,0.150012854,5
Conversion script,508,0.143206393,6
Conversion script,524,0.121607481,7
Conversion script,517,0.121607481,8
Conversion script,509,0.121607481,9
Conversion script,507,0.121607481,10
Conversion script,502,0.121607481,11
Conversion script,501,0.121607481,12
Conversion script,485,0.121607481,13
Conversion script,471,0.100008569,14
Conversion script,469,0.100008569,15
Conversion script,468,0.100008569,16
Conversion script,458,0.100008569,17
Conversion script,423,0.100008569,18
Conversion script,421,0.100008569,19
Conversion script,610,0.086395649,20
Conversion script,557,0.086395649,21
Conversion script,567,0.064796737,22
Conversion script,512,0.043197824,23
Conversion script,510,0.043197824,24
Conversion script,498,0.043197824,25
Conversion script,497,0.043197824,26
Conversion script,489,0.043197824,27
Conversion script,487,0.043197824,28
Conversion script,438,0.043197824,29
Conversion script,673,0,30
Conversion script,667,0,31
Conversion script,665,0,32
Conversion script,660,0,33
Conversion script,659,0,34
Conversion script,658,0,35
Conversion script,657,0,36
Conversion script,656,0,37
Conversion script,655,0,38
Conversion script,654,0,39
Conversion script,653,0,40
Conversion script,652,0,41
Conversion script,651,0,42
Conversion script,649,0,43
Conversion script,648,0,44
Conversion script,647,0,45
Conversion script,646,0,46
Conversion script,644,0,47
Conversion script,643,0,48
Conversion script,642,0,49
Conversion script,641,0,50
Conversion script,640,0,51
Conversion script,639,0,52
Conversion script,638,0,53
Conversion script,637,0,54
Conversion script,636,0,55
Conversion script,635,0,56
Conversion script,462,0,57
130.94.122.xxx,418,0.193210678,1
130.94.122.xxx,417,0.171611766,2
130.94.122.xxx,424,0.150012854,3
130.94.122.xxx,419,0.150012854,4
130.94.122.xxx,416,0.150012854,5
130.94.122.xxx,508,0.143206393,6
130.94.122.xxx,524,0.121607481,7
130.94.122.xxx,517,0.121607481,8
130.94.122.xxx,509,0.121607481,9
130.94.122.xxx,507,0.121607481,10
130.94.122.xxx,502,0.121607481,11
130.94.122.xxx,501,0.121607481,12
130.94.122.xxx,485,0.121607481,13
130.94.122.xxx,471,0.100008569,14
130.94.122.xxx,469,0.100008569,15
130.94.122.xxx,468,0.100008569,16
130.94.122.xxx,458,0.100008569,17
130.94.122.xxx,423,0.100008569,18
130.94.122.xxx,421,0.100008569,19
130.94.122.xxx,610,0.086395649,20
130.94.122.xxx,557,0.086395649,21
130.94.122.xxx,567,0.064796737,22
130.94.122.xxx,512,0.043197824,23
130.94.122.xxx,510,0.043197824,24
130.94.122.xxx,498,0.043197824,25
130.94.122.xxx,497,0.043197824,26
130.94.122.xxx,489,0.043197824,27
130.94.122.xxx,487,0.043197824,28
130.94.122.xxx,438,0.043197824,29
130.94.122.xxx,673,0,30
130.94.122.xxx,667,0,31
130.94.122.xxx,665,0,32
130.94.122.xxx,660,0,33
130.94.122.xxx,659,0,34
130.94.122.xxx,658,0,35
130.94.122.xxx,657,0,36
130.94.122.xxx,656,0,37
130.94.122.xxx,655,0,38
130.94.122.xxx,654,0,39
130.94.122.xxx,653,0,40
130.94.122.xxx,652,0,41
130.94.122.xxx,651,0,42
130.94.122.xxx,649,0,43
130.94.122.xxx,648,0,44
130.94.122.xxx,647,0,45
130.94.122.xxx,646,0,46
130.94.122.xxx,644,0,47
130.94.122.xxx,643,0,48
130.94.122.xxx,642,0,49
130.94.122.xxx,641,0,50
130.94.122.xxx,640,0,51
130.94.122.xxx,639,0,52
130.94.122.xxx,638,0,53
130.94.122.xxx,637,0,54
130.94.122.xxx,636,0,55
130.94.122.xxx,635,0,56
130.94.122.xxx,462,0,57
Bryan Derksen,418,0.823772514,1
Bryan Derksen,417,0.787005114,2
Bryan Derksen,424,0.487764297,3
Bryan Derksen,419,0.487764297,4
Bryan Derksen,416,0.487764297,5
Bryan Derksen,610,0.476768539,6
Bryan Derksen,508,0.476768539,7
Bryan Derksen,423,0.431772554,8
Bryan Derksen,567,0.392118971,9
Bryan Derksen,524,0.392118971,10
Bryan Derksen,517,0.392118971,11
Bryan Derksen,509,0.392118971,12
Bryan Derksen,507,0.392118971,13
Bryan Derksen,502,0.392118971,14
Bryan Derksen,501,0.392118971,15
Bryan Derksen,485,0.392118971,16
Bryan Derksen,471,0.370520059,17
Bryan Derksen,469,0.370520059,18
Bryan Derksen,468,0.370520059,19
Bryan Derksen,458,0.370520059,20
Bryan Derksen,557,0.338598273,21
Bryan Derksen,438,0.265063473,22
Bryan Derksen,421,0.265063473,23
Bryan Derksen,512,0.169299136,24
Bryan Derksen,510,0.169299136,25
Bryan Derksen,498,0.169299136,26
Bryan Derksen,497,0.169299136,27
Bryan Derksen,489,0.169299136,28
Bryan Derksen,487,0.169299136,29
Bryan Derksen,462,0.126101312,30
Bryan Derksen,673,0,31
Bryan Derksen,667,0,32
Bryan Derksen,665,0,33
Bryan Derksen,660,0,34
Bryan Derksen,659,0,35
Bryan Derksen,658,0,36
Bryan Derksen,657,0,37
Bryan Derksen,656,0,38
Bryan Derksen,655,0,39
Bryan Derksen,654,0,40
Bryan Derksen,653,0,41
Bryan Derksen,652,0,42
Bryan Derksen,651,0,43
Bryan Derksen,649,0,44
Bryan Derksen,648,0,45
Bryan Derksen,647,0,46
Bryan Derksen,646,0,47
Bryan Derksen,644,0,48
Bryan Derksen,643,0,49
Bryan Derksen,642,0,50
Bryan Derksen,641,0,51
Bryan Derksen,640,0,52
Bryan Derksen,639,0,53
Bryan Derksen,638,0,54
Bryan Derksen,637,0,55
Bryan Derksen,636,0,56
Bryan Derksen,635,0,57
RobLa,418,0.884867355,1
RobLa,417,0.864626402,2
RobLa,424,0.751961389,3
RobLa,419,0.751961389,4
RobLa,416,0.751961389,5
RobLa,508,0.74379697,6
RobLa,423,0.709030257,7
RobLa,524,0.7018788,8
RobLa,517,0.7018788,9
RobLa,509,0.7018788,10
RobLa,507,0.7018788,11
RobLa,502,0.7018788,12
RobLa,501,0.7018788,13
RobLa,485,0.7018788,14
RobLa,610,0.686986225,15
RobLa,471,0.680279888,16
RobLa,469,0.680279888,17
RobLa,468,0.680279888,18
RobLa,458,0.680279888,19
RobLa,421,0.659960631,20
RobLa,567,0.645068056,21
